gene_id	gene_name	ProteinCoding	Pseudogene	lincRNA	ASDTADAFDR03	WillseyUnion	BE	PSD	DDD	CHD8Common	FMRPDarnell	LOEUF37
ENSG00000000003.15	TSPAN6	1	0	0	0	0	1	0	0	0	0	0
ENSG00000000005.6	TNMD	1	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.14	DPM1	1	0	0	0	0	1	1	1	0	0	0
ENSG00000000457.14	SCYL3	1	0	0	0	0	1	0	0	0	0	0
ENSG00000000460.17	C1orf112	1	0	0	0	0	0	0	0	0	0	0
ENSG00000000938.13	FGR	1	0	0	0	0	1	0	0	0	0	0
ENSG00000000971.16	CFH	1	0	0	0	0	1	0	0	0	0	1
ENSG00000001036.14	FUCA2	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001084.13	GCLC	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001167.15	NFYA	1	0	0	0	1	1	0	0	1	0	0
ENSG00000001460.18	STPG1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001461.17	NIPAL3	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001497.18	LAS1L	1	0	0	0	0	1	0	0	0	0	1
ENSG00000001561.7	ENPP4	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001617.12	SEMA3F	1	0	0	0	0	1	0	0	0	0	1
ENSG00000001626.17	CFTR	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001629.10	ANKIB1	1	0	0	0	0	0	0	0	0	0	1
ENSG00000001630.18	CYP51A1	1	0	0	0	0	1	0	0	1	0	0
ENSG00000001631.17	KRIT1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000002016.18	RAD52	1	0	0	0	0	1	0	0	1	0	0
ENSG00000002079.14	MYH16	0	1	0	0	0	0	0	0	0	0	0
ENSG00000002330.14	BAD	1	0	0	0	0	1	0	0	1	0	0
ENSG00000002549.13	LAP3	1	0	0	0	0	1	1	0	0	0	0
ENSG00000002586.20	CD99	1	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.10	HS3ST1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000002726.21	AOC1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.13	WNT16	1	0	0	0	0	1	0	0	0	0	0
ENSG00000002746.15	HECW1	1	0	0	0	0	1	1	0	0	0	1
ENSG00000002822.16	MAD1L1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000002834.18	LASP1	1	0	0	0	0	1	1	0	0	0	1
ENSG00000002919.15	SNX11	1	0	0	0	0	1	0	0	0	0	0
ENSG00000002933.9	TMEM176A	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003056.8	M6PR	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003096.14	KLHL13	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003137.9	CYP26B1	1	0	0	0	0	1	0	0	0	0	1
ENSG00000003147.19	ICA1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003249.15	DBNDD1	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003393.16	ALS2	1	0	0	0	0	1	0	1	1	1	0
ENSG00000003400.15	CASP10	1	0	0	0	0	1	0	0	0	0	0
ENSG00000003402.21	CFLAR	1	0	0	0	0	1	0	0	1	0	1
